4 - List Of Successful Candidate,,,,,,,,
,,,,,,,,
SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
185,Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,GEN,GENERAL,BJP,Lotus,168187
186,Karnataka,Bijapur,JIGAJINAGI RAMESH CHANDAPPA,SC,SC,BJP,Lotus,258038
187,Kerala,Alathur ,RAMYA HARIDAS,SC,SC,INC,Hand,158968
188,Kerala,Thrissur,T. N. PRATHAPAN,GEN,GENERAL,INC,Hand,93633
189,Kerala,Chalakudy,BENNY BEHANAN,GEN,GENERAL,INC,Hand,132274
190,Kerala,Ernakulam,HIBI EDEN,GEN,GENERAL,INC,Hand,169153
191,Kerala,Idukki,Adv. DEAN KURIAKOSE,GEN,GENERAL,INC,Hand,171053
192,Kerala,Kottayam,Thomas Chazhikadan,GEN,GENERAL,KEC(M),Two Leaves,106259
193,Kerala,Alappuzha,Adv. A M ARIFF,GEN,GENERAL,CPIM,"Hammer, Sickle and Star",10474
194,Kerala,Mavelikkara ,KODIKUNNIL SURESH,SC,SC,INC,Hand,61138
195,Kerala,Pathanamthitta,ANTO ANTONY,GEN,GENERAL,INC,Hand,44243
196,Kerala,Kollam,N.K.Premachandran,GEN,GENERAL,RSP,Spade & Stoker,148856
197,Kerala,Attingal,Adv. ADOOR PRAKASH,GEN,GENERAL,INC,Hand,38247
198,Kerala,Thiruvananthapuram,Dr. SHASHI THAROOR,GEN,GENERAL,INC,Hand,99989
199,Kerala,Kasaragod,Rajmohan Unnithan,GEN,GENERAL,INC,Hand,40438
200,Kerala,Kannur,K. SUDHAKARAN,GEN,GENERAL,INC,Hand,94559
201,Kerala,Vadakara,K. MURALEEDHARAN,GEN,GENERAL,INC,Hand,84663
202,Kerala,Wayanad,Rahul Gandhi,GEN,GENERAL,INC,Hand,431770
203,Kerala,Kozhikode,M.K.RAGHAVAN,GEN,GENERAL,INC,Hand,85225
204,Kerala,Malappuram,P.K. Kunhalikutty,GEN,GENERAL,IUML,Ladder,260153
205,Kerala,Ponnani,E. T. Mohammed Basheer,GEN,GENERAL,IUML,Ladder,193273
206,Kerala,Palakkad,V K SREEKANDAN,GEN,GENERAL,INC,Hand,11637
207,Lakshadweep,Lakshadweep,MOHAMMED FAIZAL PP,ST,ST,NCP,Clock,823
208,Madhya Pradesh,DEWAS,MAHENDRA SINGH SOLANKY,SC,SC,BJP,Lotus,372249
209,Madhya Pradesh,UJJAIN,ANIL FIROJIYA,SC,SC,BJP,Lotus,365637
210,Madhya Pradesh,MANDSOUR,Sudheer Gupta,GEN,GENERAL,BJP,Lotus,376734
211,Madhya Pradesh,RATLAM,GUMAN SINGH DAMOR,ST,ST,BJP,Lotus,90636
212,Madhya Pradesh,DHAR,CHATTARSINGH DARBAR,ST,ST,BJP,Lotus,156029
213,Madhya Pradesh,INDORE,SHANKAR LALWANI,GEN,GENERAL,BJP,Lotus,547754
214,Madhya Pradesh,KHARGONE,GAJENDRA UMRAO SINGH PATEL,ST,ST,BJP,Lotus,202510
215,Madhya Pradesh,KHANDWA,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),GEN,GENERAL,BJP,Lotus,273343
216,Madhya Pradesh,BETUL,DURGA DAS (D.D.) UIKEY,ST,ST,BJP,Lotus,360241
217,Madhya Pradesh,MORENA,NARENDRA SINGH TOMAR,GEN,GENERAL,BJP,Lotus,113341
218,Madhya Pradesh,BHIND,SANDHYA RAY,SC,SC,BJP,Lotus,199885
