District,YEAR,Cropped.land.area
Jaisalmer,2012,843979
Jaisalmer,2013,961107
Jaisalmer,2014,870760
Jaisalmer,2015,1027862
Jaisalmer,2016,1084083
Jaisalmer,2017,1120474
Jaisalmer,2018,1051465
Jalore,2011,911138
Jalore,2012,895027
Jalore,2013,972807
Jalore,2014,867677
Jalore,2015,921716
Jalore,2016,948520
Jalore,2017,943310
Jalore,2018,896341
Jhalawar,2011,601344
Jhalawar,2012,614323
Jhalawar,2013,646729
Jhalawar,2014,614049
Jhalawar,2015,635005
Jhalawar,2016,642810
Jhalawar,2017,636402
Jhalawar,2018,647710
Jhunjhunu,2011,667776
Jhunjhunu,2012,644041
Jhunjhunu,2013,706653
Jhunjhunu,2014,654338
Jhunjhunu,2015,635494
Jhunjhunu,2016,627519
Jhunjhunu,2017,607547
Jhunjhunu,2018,629188
Jodhpur,2011,1516329
Jodhpur,2012,1449043
Jodhpur,2013,1648408
Jodhpur,2014,1589684
Jodhpur,2015,1716695
Jodhpur,2016,1787733
Jodhpur,2017,1770718
Jodhpur,2018,1712812
Karauli,2011,339665
Karauli,2012,340039
Karauli,2013,338799
Karauli,2014,328743
Karauli,2015,321379
Karauli,2016,332222
Karauli,2017,303686
Karauli,2018,326879
Kota,2011,461813
Kota,2012,492093
Kota,2013,511127
Kota,2014,448459
Kota,2015,514560
Kota,2016,513676
Kota,2017,507427
Kota,2018,525377
Nagaur,2011,1468857
Nagaur,2012,1452861
Nagaur,2013,1757833
Nagaur,2014,1479906
Nagaur,2015,1472570
Nagaur,2016,1650700
Nagaur,2017,1512853
Nagaur,2018,1515543
Pali,2011,701804
Pali,2012,721171
Pali,2013,819146
Pali,2014,694046
Pali,2015,726045
Pali,2016,894417
Pali,2017,839773
Pali,2018,685095
Rajsamand,2011,139359
Rajsamand,2012,139920
Rajsamand,2013,135837
Rajsamand,2014,131941
Rajsamand,2015,132026
Rajsamand,2016,141930
Rajsamand,2017,141621
Rajsamand,2018,126255
Sawai Madhopur,2011,397832
Sawai Madhopur,2012,400428
Sawai Madhopur,2013,401069
Sawai Madhopur,2014,381272
Sawai Madhopur,2015,398339
Sawai Madhopur,2016,426331
Sawai Madhopur,2017,381623
Sawai Madhopur,2018,445571
Sikar,2011,776741
Sikar,2012,748496
Sikar,2013,787105
Sikar,2014,746858
Sikar,2015,722330
Sikar,2016,716360
Sikar,2017,686218
Sikar,2018,702300
Sirohi,2011,232711
Sirohi,2012,229834
Sirohi,2013,239341
Sirohi,2014,210928
Sirohi,2015,226988
Sirohi,2016,226556
Sirohi,2017,226975
Sirohi,2018,214742
Tonk,2011,691367
Tonk,2012,637436
Tonk,2013,662004
Tonk,2014,624154
Tonk,2015,576923
Tonk,2016,703193
Tonk,2017,671493
Tonk,2018,744221
Udaipur,2011,348156
Udaipur,2012,342191
Udaipur,2013,342229
Udaipur,2014,342033
Udaipur,2015,350640
Udaipur,2016,354535
Udaipur,2017,347031
Udaipur,2018,333292
Pratapgarh,2011,283261
Pratapgarh,2012,290681
Pratapgarh,2013,305372
Pratapgarh,2014,299170
Pratapgarh,2015,295823
Pratapgarh,2016,305396
Pratapgarh,2017,306625
Pratapgarh,2018,322037
Agra,2011,423752
Agra,2012,420260
Agra,2013,411682
Agra,2014,425564
Agra,2015,434860
Agra,2016,434635
Agra,2017,427494
Aligarh,2011,545094
Aligarh,2012,546436
Aligarh,2013,546346
Aligarh,2014,541907
Aligarh,2015,565553
Aligarh,2016,565681
Aligarh,2017,566424
Prayagraj,2011,479504
Prayagraj,2012,484197
Prayagraj,2013,480126
Prayagraj,2014,508783
Prayagraj,2015,495358
Prayagraj,2016,572389
Prayagraj,2017,573499
Ambedkar Nagar,2011,285581
Ambedkar Nagar,2012,282680
Ambedkar Nagar,2013,282927
Ambedkar Nagar,2014,284071
Ambedkar Nagar,2015,290920
Ambedkar Nagar,2016,291191
Ambedkar Nagar,2017,291415
Auraiya,2011,232820
Auraiya,2012,235925
Auraiya,2013,245292
Auraiya,2014,248071
Auraiya,2015,252940
Auraiya,2016,254615
Auraiya,2017,250597
Azamgarh,2011,506887
Azamgarh,2012,509168
Azamgarh,2013,512872
Azamgarh,2014,498270
Azamgarh,2015,505643
Azamgarh,2016,506049
Azamgarh,2017,506006
Baghpat,2011,174285
Baghpat,2012,172840
Baghpat,2013,175010
Baghpat,2014,173560
Baghpat,2015,173543
Baghpat,2016,174415
Baghpat,2017,174270
Bahraich,2011,500431
Bahraich,2012,500739
Bahraich,2013,513212
Bahraich,2014,544989
Bahraich,2015,524203
Bahraich,2016,559687
Bahraich,2017,561187
Ballia,2011,349493
