State,Year,ratio
Maharashtra,2015,0.855498757
Maharashtra,2016,0.471696354
Maharashtra,2016,0.873924068
Maharashtra,2017,0.469980016
Maharashtra,2017,0.862177908
Maharashtra,2018,0.472542909
Maharashtra,2018,0.879074424
Maharashtra,2019,0.48758041
Maharashtra,2019,0.876549995
Maharashtra,2020,0.463538967
Maharashtra,2020,0.872187025
Andhra Pradesh,2011,0.673361663
Andhra Pradesh,2011,0.915948605
Andhra Pradesh,2012,0.631343502
Andhra Pradesh,2012,0.945809026
Andhra Pradesh,2013,0.673536804
Andhra Pradesh,2013,0.990475017
Andhra Pradesh,2014,0.65042531
Andhra Pradesh,2014,1.010854634
Andhra Pradesh,2015,0.733967758
Andhra Pradesh,2015,1.022062799
Andhra Pradesh,2016,0.70158832
Andhra Pradesh,2016,1.048883103
Andhra Pradesh,2017,0.707539603
Andhra Pradesh,2017,1.107740787
Andhra Pradesh,2018,0.716738743
Andhra Pradesh,2018,1.130930297
Andhra Pradesh,2019,0.714518262
Andhra Pradesh,2019,1.125254213
Andhra Pradesh,2020,0.81032595
Andhra Pradesh,2020,1.184627307
Karnataka,2011,0.670588235
Karnataka,2011,1.156254574
Karnataka,2012,0.680369128
Karnataka,2012,1.139299091
Karnataka,2013,0.679829592
Karnataka,2013,1.179557943
Karnataka,2014,0.615836219
Karnataka,2014,1.184664854
Karnataka,2015,0.617386162
Karnataka,2015,1.261992781
Karnataka,2016,0.64129218
Karnataka,2016,1.301633847
Karnataka,2017,0.68700502
Karnataka,2017,1.383831288
Karnataka,2018,0.66867493
Karnataka,2018,1.327181454
Karnataka,2019,0.654406293
Karnataka,2019,1.283905666
Karnataka,2020,0.658950064
Karnataka,2020,1.343687076
Goa,2011,0.964102564
Goa,2011,1.162434418
Goa,2012,1
Goa,2012,1.128674432
Goa,2013,0.777777778
Goa,2013,1.123798077
Goa,2014,0.777777778
Goa,2014,1.06400818
Goa,2015,0.745454545
Goa,2015,1.146238245
Goa,2016,0.787878788
Goa,2016,1.147172137
Goa,2017,0.53125
Goa,2017,1.137496378
Goa,2018,0.852941176
Goa,2018,1.198761342
Goa,2019,0.620437956
Goa,2019,1.187248708
Goa,2020,0.47037037
Goa,2020,1.142777546
Kerala,2011,1.270236418
Kerala,2011,1.342179734
Kerala,2012,1.173467693
Kerala,2012,1.252882184
Kerala,2013,1.277798165
Kerala,2013,1.302315993
Kerala,2014,1.244823829
Kerala,2014,1.307015836
Kerala,2015,1.23908281
Kerala,2015,1.315712624
Kerala,2016,0.499015572
Kerala,2016,1.316341174
Kerala,2017,1.294846638
Kerala,2017,1.351973155
Kerala,2018,1.141325291
Kerala,2018,1.350827873
Kerala,2019,1.195836546
Kerala,2019,1.327427636
Kerala,2019,0.336956522
Kerala,2019,0.909933222
Kerala,2020,1.231079822
Kerala,2020,1.312118463
Kerala,2020,2.670623145
Kerala,2020,1.121498173
Tamil Nadu,2011,0.977821345
Tamil Nadu,2011,1.245075621
Tamil Nadu,2012,0.972183099
Tamil Nadu,2012,1.247724881
Tamil Nadu,2013,1.005521273
Tamil Nadu,2013,1.239479474
Tamil Nadu,2014,1.25333523
Tamil Nadu,2015,1.236272169
Tamil Nadu,2016,1.02583753
Tamil Nadu,2016,1.227715533
Tamil Nadu,2017,0.93397046
Tamil Nadu,2017,1.217979164
Tamil Nadu,2018,1.173076923
Tamil Nadu,2018,1.234256389
Tamil Nadu,2019,0.683482506
Tamil Nadu,2019,1.231073328
Tamil Nadu,2020,0.651930262
Tamil Nadu,2020,1.265050351
Telangana,2011,0.667220897
Telangana,2011,0.907595552
Telangana,2012,0.625585923
Telangana,2012,0.937183658
Telangana,2013,0.612548801
Telangana,2013,1.003042183
Telangana,2014,0.669213767
Telangana,2014,1.127012801
Telangana,2015,0.722078879
Telangana,2015,1.171767591
Telangana,2016,0.690380007
Telangana,2016,1.17475503
Telangana,2017,0.703246708
Telangana,2017,1.240981772
Telangana,2018,0.736451749
Telangana,2018,1.264859351
Telangana,2019,0.700949221
Telangana,2019,1.29269585
Telangana,2020,0.687545415
Telangana,2020,1.299089126
Ladakh,2011,0.676942173
Ladakh,2011,0.676366254
Ladakh,2012,0.681054176
Ladakh,2012,0.728151029
Ladakh,2013,0.672743704
Ladakh,2013,0.73054282
Ladakh,2014,0.632496389
Ladakh,2014,0.777047264
Ladakh,2015,0.624928963
Ladakh,2015,0.79822103
Ladakh,2016,0.661899339
Ladakh,2016,0.773949632
Ladakh,2017,0.6463739
Ladakh,2017,0.822051346
Ladakh,2018,0.650163379
Ladakh,2018,0.851400516
Ladakh,2019,0.826106566
Ladakh,2020,0.599554709
Ladakh,2020,0.807855684
